日期,時間,賽事編號,球隊,得分,總比分,讓分,讓分賠率,不讓分賠率,大小分,大小分賠率,單雙賠率
2022/4/9,AM 08:30,20220409-6,達拉斯獨行俠,128,78 : 128,-19.5,主1.75,,221.5,小1.8,雙1.75
2022/4/9,AM 09:30,20220409-7,鳳凰城太陽,111,111 : 105,3.5,客1.75,2.05,228.5,大1.75,單1.75
2022/4/9,AM 09:30,20220409-7,猶他爵士,105,111 : 105,-3.5,主1.75,1.5,228.5,小1.75,雙1.75
2022/4/9,AM 10:30,20220409-8,奧克拉荷馬雷霆,101,101 : 120,4.5,客1.75,2.3,225.5,大1.75,單1.75
2022/4/9,AM 10:30,20220409-8,洛杉磯湖人,120,101 : 120,-4.5,主1.75,1.4,225.5,小1.75,雙1.75
2022/4/10,AM 01:00,20220410-0,印第安那溜馬,120,120 : 133,14.5,客1.8,,235.5,大1.75,單1.75
2022/4/10,AM 01:00,20220410-0,費城76人,133,120 : 133,-14.5,主1.7,,235.5,小1.75,雙1.75
2022/4/10,AM 06:00,20220410-1,紐奧良鵜鶘,114,114 : 141,7.5,客1.75,3,230.5,大1.7,單1.75
2022/4/10,AM 06:00,20220410-1,曼斐斯灰熊,141,114 : 141,-7.5,主1.75,1.22,230.5,小1.8,雙1.75
2022/4/10,AM 08:30,20220410-2,金州勇士,100,100 : 94,-7.5,客1.75,1.22,218.5,大1.75,單1.75
2022/4/10,AM 08:30,20220410-2,聖安東尼奧馬刺,94,100 : 94,7.5,主1.75,3,218.5,小1.75,雙1.75
2022/4/10,AM 09:30,20220410-3,沙加緬度國王,98,98 : 117,12.5,客1.75,,225.5,大1.75,單1.75
2022/4/10,AM 09:30,20220410-3,洛杉磯快艇,117,98 : 117,-12.5,主1.75,,225.5,小1.75,雙1.75
2022/4/11,AM 03:30,20220411-0,印第安那溜馬,126,126 : 134,15.5,客1.75,,243.5,大1.8,單1.75
2022/4/11,AM 03:30,20220411-0,布魯克林籃網,134,126 : 134,-15.5,主1.75,,243.5,小1.7,雙1.75
2022/4/11,AM 03:30,20220411-1,華盛頓巫師,108,108 : 124,13.5,客1.75,,234.5,大1.75,單1.75
2022/4/11,AM 03:30,20220411-1,夏洛特黃蜂,124,108 : 124,-13.5,主1.75,,234.5,小1.75,雙1.75
2022/4/11,AM 03:30,20220411-2,密爾瓦基公鹿,115,115 : 133,8.5,客1.75,3.1,226.5,大1.7,單1.75
2022/4/11,AM 03:30,20220411-2,克里夫蘭騎士,133,115 : 133,-8.5,主1.75,1.2,226.5,小1.8,雙1.75
2022/4/11,AM 03:30,20220411-3,亞特蘭大老鷹,130,130 : 114,-12.5,客1.75,,239.5,大1.75,單1.75
2022/4/11,AM 03:30,20220411-3,休士頓火箭,114,130 : 114,12.5,主1.75,,239.5,小1.75,雙1.75
2022/4/11,AM 07:00,20220411-4,波士頓塞爾提克,139,139 : 110,-5.5,客1.75,1.35,227.5,大1.75,單1.75
2022/4/11,AM 07:00,20220411-4,曼斐斯灰熊,110,139 : 110,5.5,主1.75,2.45,227.5,小1.75,雙1.75
2022/4/11,AM 07:00,20220411-5,多倫多暴龍,94,94 : 105,-1.5,客1.8,1.65,214.5,大1.75,單1.75
2022/4/11,AM 07:00,20220411-5,紐約尼克,105,94 : 105,1.5,主1.7,1.85,214.5,小1.75,雙1.75
2022/4/11,AM 07:00,20220411-6,邁阿密熱火,111,111 : 125,-8.5,客1.8,1.18,218.5,大1.75,單1.75
2022/4/11,AM 07:00,20220411-6,奧蘭多魔術,125,111 : 125,8.5,主1.7,3.3,218.5,小1.75,雙1.75
2022/4/11,AM 07:00,20220411-7,底特律活塞,106,106 : 118,7.5,客1.7,2.85,221.5,大1.75,單1.75
2022/4/11,AM 07:00,20220411-7,費城76人,118,106 : 118,-7.5,主1.8,1.25,221.5,小1.75,雙1.75
2022/4/11,AM 08:30,20220411-8,芝加哥公牛,124,124 : 120,8.5,客1.75,3.1,229.5,大1.75,單1.75
2022/4/11,AM 08:30,20220411-8,明尼蘇達灰狼,120,124 : 120,-8.5,主1.75,1.2,229.5,小1.75,雙1.75
2022/4/11,AM 09:30,20220411-9,聖安東尼奧馬刺,120,120 : 130,10.5,客1.8,,223.5,大1.75,單1.75
2022/4/11,AM 09:30,20220411-9,達拉斯獨行俠,130,120 : 130,-10.5,主1.7,,223.5,小1.75,雙1.75
2022/4/11,AM 09:30,20220411-10,洛杉磯湖人,146,146 : 141,6.5,客1.75,2.85,227.5,大1.75,單1.75
2022/4/11,AM 09:30,20220411-10,丹佛金塊,141,146 : 141,-6.5,主1.75,1.25,227.5,小1.75,雙1.75
2022/4/11,AM 09:30,20220411-11,奧克拉荷馬雷霆,88,88 : 138,12.5,客1.75,,217.5,大1.8,單1.75
2022/4/11,AM 09:30,20220411-11,洛杉磯快艇,138,88 : 138,-12.5,主1.75,,217.5,小1.7,雙1.75
2022/4/11,AM 09:30,20220411-12,金州勇士,128,128 : 107,-6.5,客1.75,1.25,221.5,大1.8,單1.75
2022/4/11,AM 09:30,20220411-12,紐奧良鵜鶘,107,128 : 107,6.5,主1.75,2.85,221.5,小1.7,雙1.75
2022/4/11,AM 09:30,20220411-13,沙加緬度國王,116,116 : 109,10.5,客1.75,,228.5,大1.8,單1.75
2022/4/11,AM 09:30,20220411-13,鳳凰城太陽,109,116 : 109,-10.5,主1.75,,228.5,小1.7,雙1.75
2022/4/11,AM 09:30,20220411-14,猶他爵士,111,111 : 80,-18.5,客1.75,,221.5,大1.75,單1.75
2022/4/11,AM 09:30,20220411-14,波特蘭拓荒者,80,111 : 80,18.5,主1.75,,221.5,小1.75,雙1.75
2022/4/13,AM 07:00,20220413-0,克里夫蘭騎士,108,108 : 115,9.5,客1.8,4,227.5,大1.75,單1.75
2022/4/13,AM 07:00,20220413-0,布魯克林籃網,115,108 : 115,-9.5,主1.7,1.1,227.5,小1.75,雙1.75
2022/4/13,AM 09:30,20220413-1,洛杉磯快艇,104,104 : 109,2.5,客1.7,1.9,231.5,大1.75,單1.75
2022/4/13,AM 09:30,20220413-1,明尼蘇達灰狼,109,104 : 109,-2.5,主1.8,1.6,231.5,小1.75,雙1.75
2022/4/14,AM 07:00,20220414-0,夏洛特黃蜂,103,103 : 132,5.5,客1.75,2.45,234.5,大1.75,單1.75
2022/4/14,AM 07:00,20220414-0,亞特蘭大老鷹,132,103 : 132,-5.5,主1.75,1.35,234.5,小1.75,雙1.75
2022/4/14,AM 09:30,20220414-1,聖安東尼奧馬刺,103,103 : 113,4.5,客1.75,2.3,226.5,大1.75,單1.75
2022/4/14,AM 09:30,20220414-1,紐奧良鵜鶘,113,103 : 113,-4.5,主1.75,1.4,226.5,小1.75,雙1.75
2022/4/16,AM 07:30,20220416-0,亞特蘭大老鷹,107,107 : 101,-3.5,客1.75,1.55,223.5,大1.7,單1.75
2022/4/16,AM 07:30,20220416-0,克里夫蘭騎士,101,107 : 101,3.5,主1.75,1.95,223.5,小1.8,雙1.75
2022/4/16,AM 10:00,20220416-1,紐奧良鵜鶘,105,105 : 101,-2.5,客1.7,1.55,216.5,大1.7,單1.75
2022/4/16,AM 10:00,20220416-1,洛杉磯快艇,101,105 : 101,2.5,主1.8,1.95,216.5,小1.8,雙1.75
2022/4/17,AM 01:00,20220417-0,猶他爵士,99,99 : 93,-6.5,客1.75,1.3,209.5,大1.7,單1.75
2022/4/17,AM 01:00,20220417-0,達拉斯獨行俠,93,99 : 93,6.5,主1.75,2.6,209.5,小1.8,雙1.75
2022/4/17,AM 03:30,20220417-1,明尼蘇達灰狼,130,130 : 117,7.5,客1.75,3,236.5,大1.8,單1.75
2022/4/17,AM 03:30,20220417-1,曼斐斯灰熊,117,130 : 117,-7.5,主1.75,1.22,236.5,小1.7,雙1.75
2022/4/17,AM 06:00,20220417-2,多倫多暴龍,111,111 : 131,5.5,客1.8,2.6,214.5,大1.75,單1.75
2022/4/17,AM 06:00,20220417-2,費城76人,131,111 : 131,-5.5,主1.7,1.3,214.5,小1.75,雙1.75
2022/4/17,AM 08:30,20220417-3,丹佛金塊,107,107 : 123,6.5,客1.7,2.7,224.5,大1.75,單1.75
2022/4/17,AM 08:30,20220417-3,金州勇士,123,107 : 123,-6.5,主1.8,1.28,224.5,小1.75,雙1.75
2022/4/18,AM 01:00,20220418-0,亞特蘭大老鷹,91,91 : 115,7.5,客1.8,3.1,220.5,大1.7,單1.75
2022/4/18,AM 01:00,20220418-0,邁阿密熱火,115,91 : 115,-7.5,主1.7,1.2,220.5,小1.8,雙1.75
2022/4/18,AM 03:30,20220418-1,布魯克林籃網,114,114 : 115,4.5,客1.75,2.15,226.5,大1.7,單1.75
2022/4/18,AM 03:30,20220418-1,波士頓塞爾提克,115,114 : 115,-4.5,主1.75,1.45,226.5,小1.8,雙1.75
2022/4/18,AM 06:30,20220418-2,芝加哥公牛,86,86 : 93,11.5,客1.75,,230.5,大1.7,單1.75
2022/4/18,AM 06:30,20220418-2,密爾瓦基公鹿,93,86 : 93,-11.5,主1.75,,230.5,小1.8,雙1.75
2022/4/18,AM 09:00,20220418-3,紐奧良鵜鶘,99,99 : 110,10.5,客1.8,,224.5,大1.75,單1.75
2022/4/18,AM 09:00,20220418-3,鳳凰城太陽,110,99 : 110,-10.5,主1.7,,224.5,小1.75,雙1.75
2022/4/19,AM 07:30,20220419-0,多倫多暴龍,97,97 : 112,8.5,客1.8,3.3,217.5,大1.7,單1.75
2022/4/19,AM 07:30,20220419-0,費城76人,112,97 : 112,-8.5,主1.7,1.18,217.5,小1.8,雙1.75
2022/4/19,AM 08:30,20220419-1,猶他爵士,104,104 : 110,-4.5,客1.75,1.4,207.5,大1.75,單1.75
